standard_name,scientific_name
Horned Grebe,Podiceps auritus
Great Crested Grebe,Podiceps cristatus
Eared Grebe,Podiceps nigricollis
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoenicopterus minor
Black-browed Albatross,Thalassarche melanophris
Northern Fulmar,Fulmarus glacialis
Fea's Petrel,Pterodroma feae
Zino's/Fea's Petrel,Pterodroma deserta/feae
Bulwer's Petrel,Bulweria bulwerii
Cory's Shearwater,Calonectris diomedea
Cory's Shearwater (borealis),Calonectris diomedea borealis
Puffinus Shearwater sp.,Puffinus sp.
Great Shearwater,Puffinus gravis
Sooty Shearwater,Puffinus griseus
Manx Shearwater,Puffinus puffinus
Balearic Shearwater,Puffinus mauretanicus
Barolo Shearwater,Puffinus baroli
Storm-Petrel sp.,Oceanites / Hydrobates
Wilson's Storm-Petrel,Oceanites oceanicus
European Storm-Petrel,Hydrobates pelagicus
Leach's Storm-Petrel,Oceanodroma leucorhoa
Swinhoe's Storm-Petrel,Oceanodroma monorhis
Band-rumped Storm-Petrel,Oceanodroma castro
Black Stork,Ciconia nigra
White Stork,Ciconia ciconia
Marabou Stork,Leptoptilos crumenifer
Brown Booby,Sula leucogaster
Northern Gannet,Morus bassanus
Great Cormorant,Phalacrocorax carbo
Great Cormorant (North Atlantic),Phalacrocorax carbo carbo
Cormorant (Eurasian),Phalacrocorax carbo sinensis
European Shag,Phalacrocorax aristotelis
Great White Pelican,Pelecanus onocrotalus
Pink-backed Pelican,Pelecanus rufescens
Great Bittern,Botaurus stellaris
Little Bittern,Ixobrychus minutus
Heron sp.,Ardea sp.
Gray Heron,Ardea cinerea
Purple Heron,Ardea purpurea
Great Egret,Ardea alba
Great Egret (Eurasian),Ardea alba alba
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Cattle Egret,Bubulcus ibis
Squacco Heron,Ardeola ralloides
Black-crowned Night-Heron,Nycticorax nycticorax
Glossy Ibis,Plegadis falcinellus
Sacred Ibis,Threskiornis aethiopicus
Waldrapp,Geronticus eremita
Bald Ibis,Geronticus calvus
Eurasian Spoonbill,Platalea leucorodia
Osprey,Pandion haliaetus
Black-shouldered Kite,Elanus caeruleus
Lammergeier,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
European Honey-buzzard,Pernis apivorus
Cinereous Vulture,Aegypius monachus
White-backed Vulture,Gyps africanus
Rueppell's Griffon,Gyps rueppellii
Eurasian Griffon,Gyps fulvus
Short-toed Eagle,Circaetus gallicus
Lesser Spotted Eagle,Clanga pomarina
Greater Spotted Eagle,Clanga clanga
Booted Eagle,Hieraaetus pennatus
Spanish Eagle,Aquila adalberti
Golden Eagle,Aquila chrysaetos
Bonelli's Eagle,Aquila fasciata
Harrier sp.,Circus sp.
Eurasian Marsh-Harrier,Circus aeruginosus
Northern Harrier,Circus cyaneus
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
Hawk sp.,Accipiter sp.
Eurasian Sparrowhawk,Accipiter nisus
Northern Goshawk,Accipiter gentilis
Red Kite,Milvus milvus
Black Kite,Milvus migrans
Buzzard sp.,Buteo sp.
Common Buzzard,Buteo buteo
Common Buzzard (Western),Buteo buteo buteo
Steppe Buzzard,Buteo buteo vulpinus
Long-legged Buzzard,Buteo rufinus
Great Bustard,Otis tarda
Little Bustard,Tetrax tetrax
Corn Crake,Crex crex
Water Rail,Rallus aquaticus
Little Crake,Porzana parva
Baillon's Crake,Porzana pusilla
Spotted Crake,Porzana porzana
Purple Swamphen,Porphyrio porphyrio
Allen's Gallinule,Porphyrio alleni
Purple Gallinule,Porphyrio martinicus
Eurasian Moorhen,Gallinula chloropus
Red-knobbed Coot,Fulica cristata
Eurasian Coot,Fulica atra
American Coot,Fulica americana
Demoiselle Crane,Anthropoides virgo
Common Crane,Grus grus
Eurasian Thick-knee,Burhinus oedicnemus
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Eurasian Oystercatcher,Haematopus ostralegus
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Northern Lapwing,Vanellus vanellus
Sociable Lapwing,Vanellus gregarius
Lesser Sand-Plover,Charadrius mongolus
Kentish Plover,Charadrius alexandrinus
Common Ringed Plover,Charadrius hiaticula
Little Ringed Plover,Charadrius dubius
Killdeer,Charadrius vociferus
Eurasian Dotterel,Charadrius morinellus
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Spotted Redshank,Tringa erythropus
Greater Yellowlegs,Tringa melanoleuca
Common Greenshank,Tringa nebularia
Willet,Tringa semipalmata
Lesser Yellowlegs,Tringa flavipes
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Upland Sandpiper,Bartramia longicauda
Curlew sp.,Numenius sp.
Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Black-tailed Godwit,Limosa limosa
Bar-tailed Godwit,Limosa lapponica
Ruddy Turnstone,Arenaria interpres
Calidris sp.,Calidris sp.
Red Knot,Calidris canutus
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Sanderling,Calidris alba
Dunlin,Calidris alpina
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Semipalmated Sandpiper,Calidris pusilla
Long-billed/Short-billed Dowitcher,Limnodromus griseus/scolopaceus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Great Snipe,Gallinago media
Common Snipe,Gallinago gallinago
Eurasian Woodcock,Scolopax rusticola
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Small Buttonquail,Turnix sylvaticus
Cream-colored Courser,Cursorius cursor
Collared Pratincole,Glareola pratincola
Jaeger/Skua sp.,Stercorarius sp.
Great Skua,Stercorarius skua
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Pomarine/Parasitic Jaeger,Stercorarius pomarinus/parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Auk sp.,Alcidae sp.
Dovekie,Alle alle
Common Murre,Uria aalge
Razorbill,Alca torda
Guillemot/Razorbill,Uria aalge/Alca torda
Atlantic Puffin,Fratercula arctica
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Slender-billed Gull,Chroicocephalus genei
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Little Gull,Hydrocoloeus minutus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Mediterranean Gull,Ichthyaetus melanocephalus
Audouin's Gull,Ichthyaetus audouinii
Larus sp.,Larus sp.
Mew Gull,Larus canus
Ring-billed Gull,Larus delawarensis
Herring Gull,Larus argentatus
Herring Gull (American),Larus argentatus smithsonianus
Yellow-legged Gull,Larus michahellis
Yellow-legged Gull (atlantis),Larus michahellis atlantis
Caspian Gull,Larus cachinnans
Iceland Gull,Larus glaucoides
Iceland Gull (Kumlien's),Larus glaucoides kumlieni
Lesser Black-backed Gull,Larus fuscus
Lesser Black-backed Gull (intermedius),Larus fuscus intermedius
Lesser Black-backed Gull (graellsii),Larus fuscus graellsii
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Kelp Gull,Larus dominicanus
Sooty Tern,Onychoprion fuscatus
Little Tern,Sternula albifrons
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Tern sp.,Sterninae sp.
Common/Arctic Tern,Sterna hirundo/paradisaea
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
Royal Tern,Thalasseus maximus
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Lesser Crested Tern,Thalasseus bengalensis
Pin-tailed Sandgrouse,Pterocles alchata
Black-bellied Sandgrouse,Pterocles orientalis
Rock Pigeon (Feral Pigeon),Columba livia
Rock Pigeon,Columba livia
Stock Dove,Columba oenas
Common Wood-Pigeon,Columba palumbus
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Laughing Dove,Streptopelia senegalensis
Diamond Dove,Geopelia cuneata
Great Spotted Cuckoo,Clamator glandarius
Common Cuckoo,Cuculus canorus
Barn Owl,Tyto alba
European Scops-Owl,Otus scops
Eurasian Eagle-Owl,Bubo bubo
Little Owl,Athene noctua
Tawny Owl,Strix aluco
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Marsh Owl,Asio capensis
Red-necked Nightjar,Caprimulgus ruficollis
Eurasian Nightjar,Caprimulgus europaeus
Chimney Swift,Chaetura pelagica
Swift sp.,Apus sp.
Common/Pallid Swift,Apus apus/pallidus
Alpine Swift,Apus melba
Common Swift,Apus apus
Pallid Swift,Apus pallidus
Little Swift,Apus affinis
White-rumped Swift,Apus caffer
Common Kingfisher,Alcedo atthis
European Bee-eater,Merops apiaster
European Roller,Coracias garrulus
Eurasian Hoopoe,Upupa epops
Eurasian Wryneck,Jynx torquilla
Lesser Spotted Woodpecker,Dendrocopos minor
Great Spotted Woodpecker,Dendrocopos major
Black Woodpecker,Dryocopus martius
Green Woodpecker,Picus viridis
Falcon sp.,Falco sp.
Lesser Kestrel,Falco naumanni
Eurasian Kestrel,Falco tinnunculus
Red-footed Falcon,Falco vespertinus
Eleonora's Falcon,Falco eleonorae
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Lanner Falcon,Falco biarmicus
Saker Falcon,Falco cherrug
Gyrfalcon,Falco rusticolus
Peregrine Falcon,Falco peregrinus
Cockatiel,Nymphicus hollandicus
Red Lory,Eos bornea
Budgerigar,Melopsittacus undulatus
Rose-ringed Parakeet,Psittacula krameri
Senegal Parrot,Poicephalus senegalus
Monk Parakeet,Myiopsitta monachus
Blue-crowned Parakeet,Aratinga acuticaudata
Passerine sp.,Passeriform sp.
Red-backed Shrike,Lanius collurio
Southern Gray Shrike,Lanius meridionalis
Lesser Gray Shrike,Lanius minor
Woodchat Shrike,Lanius senator
Eurasian Golden Oriole,Oriolus oriolus
Eurasian Jay,Garrulus glandarius
Iberian Magpie,Cyanopica cooki
Eurasian Magpie,Pica pica
Eurasian Nutcracker,Nucifraga caryocatactes
Red-billed Chough,Pyrrhocorax pyrrhocorax
Eurasian Jackdaw,Corvus monedula
Rook,Corvus frugilegus
Carrion Crow,Corvus corone
Hooded Crow,Corvus cornix
Common Raven,Corvus corax
Lark sp.,Alaudidae sp.
Dupont's Lark,Chersophilus duponti
Calandra Lark,Melanocorypha calandra
Greater Short-toed Lark,Calandrella brachydactyla
Lesser Short-toed Lark,Calandrella rufescens
Crested Lark,Galerida cristata
Thekla Lark,Galerida theklae
Crested/Thekla Lark,Galerida cristata/theklae
Sky Lark,Alauda arvensis
Wood Lark,Lullula arborea
Bank Swallow,Riparia riparia
Eurasian Crag-Martin,Ptyonoprogne rupestris
Barn Swallow,Hirundo rustica
Barn Swallow (White-bellied),Hirundo rustica rustica
Red-rumped Swallow,Cecropis daurica
Common House-Martin,Delichon urbicum
Coal Tit,Periparus ater
Crested Tit,Lophophanes cristatus
Great Tit,Parus major
Eurasian Blue Tit,Cyanistes caeruleus
Eurasian Penduline-Tit,Remiz pendulinus
Long-tailed Tit,Aegithalos caudatus
Eurasian Nuthatch,Sitta europaea
Wallcreeper,Tichodroma muraria
Short-toed Treecreeper,Certhia brachydactyla
Eurasian Wren,Troglodytes troglodytes
White-throated Dipper,Cinclus cinclus
Goldcrest,Regulus regulus
Firecrest,Regulus ignicapilla
Cetti's Warbler,Cettia cetti
Phylloscopus sp.,Phylloscopus sp.
Willow Warbler/Chiffchaff,Phylloscopus trochilus/collybita
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Common Chiffchaff (collybita),Phylloscopus collybita collybita
Iberian Chiffchaff,Phylloscopus ibericus
Western Bonelli's Warbler,Phylloscopus bonelli
Wood Warbler,Phylloscopus sibilatrix
Dusky Warbler,Phylloscopus fuscatus
Pallas's Leaf-Warbler,Phylloscopus proregulus
Yellow-browed Warbler,Phylloscopus inornatus
Arctic Warbler,Phylloscopus borealis
Western Olivaceous Warbler,Iduna opaca
Melodious Warbler,Hippolais polyglotta
Icterine Warbler,Hippolais icterina
Aquatic Warbler,Acrocephalus paludicola
Moustached Warbler,Acrocephalus melanopogon
Sedge Warbler,Acrocephalus schoenobaenus
Paddyfield Warbler,Acrocephalus agricola
Marsh Warbler,Acrocephalus palustris
Eurasian Reed-Warbler,Acrocephalus scirpaceus
Great Reed-Warbler,Acrocephalus arundinaceus
Savi's Warbler,Locustella luscinioides
Common Grasshopper-Warbler,Locustella naevia
Zitting Cisticola,Cisticola juncidis
Sylvia sp.,"Sylvia sp,"
Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Lesser Whitethroat,Sylvia curruca
Western Orphean Warbler,Sylvia hortensis
Subalpine Warbler,Sylvia cantillans
Sardinian Warbler,Sylvia melanocephala
Greater Whitethroat,Sylvia communis
Spectacled Warbler,Sylvia conspicillata
Dartford Warbler,Sylvia undata
Spotted Flycatcher,Muscicapa striata
Rufous-tailed Scrub-Robin,Cercotrichas galactotes
European Robin,Erithacus rubecula
Thrush Nightingale,Luscinia luscinia
Common Nightingale,Luscinia megarhynchos
Bluethroat,Luscinia svecica
European Pied Flycatcher,Ficedula hypoleuca
Red-breasted Flycatcher,Ficedula parva
Redstart sp.,Phoenicurus sp.
Moussier's Redstart,Phoenicurus moussieri
Common Redstart,Phoenicurus phoenicurus
Black Redstart,Phoenicurus ochruros
Rufous-tailed Rock-Thrush,Monticola saxatilis
Blue Rock-Thrush,Monticola solitarius
Whinchat,Saxicola rubetra
European Stonechat,Saxicola rubicola
Siberian Stonechat,Saxicola maurus
Wheatear sp.,Oenanthe sp.
White-tailed Wheatear,Oenanthe leucopyga
Black Wheatear,Oenanthe leucura
Northern Wheatear,Oenanthe oenanthe
Black-eared Wheatear,Oenanthe hispanica
Desert Wheatear,Oenanthe deserti
Thrush sp.,Turdus sp.
Ring Ouzel,Turdus torquatus
Eurasian Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Song Thrush,Turdus philomelos
Mistle Thrush,Turdus viscivorus
Crested Myna,Acridotheres cristatellus
Common Myna,Acridotheres tristis
Rosy Starling,Pastor roseus
European/Spotless Starling,Sturnus vulgaris/unicolor
European Starling,Sturnus vulgaris
Spotless Starling,Sturnus unicolor
Alpine Accentor,Prunella collaris
Dunnock,Prunella modularis
Western Yellow Wagtail,Motacilla flava
Western Yellow Wagtail (Gray-headed),Motacilla flava thunbergi
Iberian Yellow Wagtail,Motacilla flava iberiae
Ashy-headed Wagtail,Motacilla flava cinereocapilla
Western Yellow Wagtail (Black-headed),Motacilla flava feldegg
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
White Wagtail (White-faced),Motacilla alba alba/dukhunensis
White Wagtail (British),Motacilla alba yarrellii
White Wagtail (Moroccan),Motacilla alba subpersonata
Pipit sp.,Anthus sp.
Richard's Pipit,Anthus richardi
Blyth's Pipit,Anthus godlewskii
Tawny Pipit,Anthus campestris
Meadow Pipit,Anthus pratensis
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Red-throated Pipit,Anthus cervinus
Water Pipit,Anthus spinoletta
Rock Pipit,Anthus petrosus
Bohemian Waxwing,Bombycilla garrulus
Lapland Longspur,Calcarius lapponicus
Snow Bunting,Plectrophenax nivalis
Common Yellowthroat,Geothlypis trichas
Yellowhammer,Emberiza citrinella
Cirl Bunting,Emberiza cirlus
Rock Bunting,Emberiza cia
Ortolan Bunting,Emberiza hortulana
Little Bunting,Emberiza pusilla
Rustic Bunting,Emberiza rustica
Yellow-breasted Bunting,Emberiza aureola
Pallas's Bunting,Emberiza pallasi
Reed Bunting,Emberiza schoeniclus
Corn Bunting,Emberiza calandra
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Trumpeter Finch,Bucanetes githagineus
Eurasian Bullfinch,Pyrrhula pyrrhula
Common Rosefinch,Carpodacus erythrinus
European Greenfinch,Chloris chloris
Red Crossbill,Loxia curvirostra
Common Redpoll,Acanthis flammea
Eurasian Siskin,Spinus spinus
European Goldfinch,Carduelis carduelis
Twite,Carduelis flavirostris
Eurasian Linnet,Carduelis cannabina
Citril Finch,Serinus citrinella
European Serin,Serinus serinus
Hawfinch,Coccothraustes coccothraustes
House Sparrow,Passer domesticus
Spanish Sparrow,Passer hispaniolensis
Eurasian Tree Sparrow,Passer montanus
Rock Petronia,Petronia petronia
White-winged Snowfinch,Montifringilla nivalis
Black-headed Weaver,Ploceus melanocephalus
Yellow-crowned Bishop,Euplectes afer
Common Waxbill,Estrilda astrild
Red Avadavat,Amandava amandava
White-rumped Munia,Lonchura striata
Nutmeg Mannikin,Lonchura punctulata
Tricolored Munia,Lonchura malacca
