standard_name,scientific_name
Little Bittern,Ixobrychus minutus
Gray Heron,Ardea cinerea
Purple Heron,Ardea purpurea
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Cattle Egret,Bubulcus ibis
Squacco Heron,Ardeola ralloides
Black-crowned Night-Heron,Nycticorax nycticorax
Yellow-crowned Night-Heron,Nyctanassa violacea
Glossy Ibis,Plegadis falcinellus
Eurasian Spoonbill,Platalea leucorodia
Osprey,Pandion haliaetus
European Honey-buzzard,Pernis apivorus
Booted Eagle,Hieraaetus pennatus
Eurasian Marsh-Harrier,Circus aeruginosus
Montagu's Harrier,Circus pygargus
Eurasian Sparrowhawk,Accipiter nisus
Red Kite,Milvus milvus
Black Kite,Milvus migrans
Common Buzzard,Buteo buteo
Long-legged Buzzard,Buteo rufinus
Little Bustard,Tetrax tetrax
Corn Crake,Crex crex
Water Rail,Rallus aquaticus
Black Crake,Amaurornis flavirostra
Little Crake,Porzana parva
Baillon's Crake,Porzana pusilla
Spotted Crake,Porzana porzana
Sora,Porzana carolina
Purple Swamphen,Porphyrio porphyrio
Purple Gallinule,Porphyrio martinicus
Eurasian Moorhen,Gallinula chloropus
Lesser Moorhen,Gallinula angulata
Eurasian Coot,Fulica atra
American Coot,Fulica americana
Common Crane,Grus grus
Eurasian Thick-knee,Burhinus oedicnemus
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Eurasian Oystercatcher,Haematopus ostralegus
Canarian Oystercatcher,Haematopus meadewaldoi
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Northern Lapwing,Vanellus vanellus
Kentish Plover,Charadrius alexandrinus
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Little Ringed Plover,Charadrius dubius
Killdeer,Charadrius vociferus
Eurasian Dotterel,Charadrius morinellus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Lesser Yellowlegs,Tringa flavipes
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Upland Sandpiper,Bartramia longicauda
Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Black-tailed Godwit,Limosa limosa
Bar-tailed Godwit,Limosa lapponica
Ruddy Turnstone,Arenaria interpres
Red Knot,Calidris canutus
Ruff,Calidris pugnax
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Sanderling,Calidris alba
Dunlin,Calidris alpina
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Jack Snipe,Lymnocryptes minimus
Common Snipe,Gallinago gallinago
Eurasian Woodcock,Scolopax rusticola
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Cream-colored Courser,Cursorius cursor
Collared Pratincole,Glareola pratincola
Great Skua,Stercorarius skua
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Dovekie,Alle alle
Atlantic Puffin,Fratercula arctica
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Little Gull,Hydrocoloeus minutus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Mediterranean Gull,Ichthyaetus melanocephalus
Pallas's Gull,Ichthyaetus ichthyaetus
Mew Gull,Larus canus
Ring-billed Gull,Larus delawarensis
Herring Gull,Larus argentatus
Yellow-legged Gull,Larus michahellis
Caspian Gull,Larus cachinnans
Iceland Gull,Larus glaucoides
Lesser Black-backed Gull,Larus fuscus
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Sooty Tern,Onychoprion fuscatus
Little Tern,Sternula albifrons
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Sandwich Tern,Thalasseus sandvicensis
Rock Pigeon,Columba livia
Stock Dove,Columba oenas
Common Wood-Pigeon,Columba palumbus
Trocaz Pigeon,Columba trocaz
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Great Spotted Cuckoo,Clamator glandarius
Common Cuckoo,Cuculus canorus
Barn Owl,Tyto alba
European Scops-Owl,Otus scops
Short-eared Owl,Asio flammeus
Red-necked Nightjar,Caprimulgus ruficollis
Chimney Swift,Chaetura pelagica
Alpine Swift,Apus melba
Common Swift,Apus apus
Plain Swift,Apus unicolor
Pallid Swift,Apus pallidus
Little Swift,Apus affinis
Common Kingfisher,Alcedo atthis
European Bee-eater,Merops apiaster
European Roller,Coracias garrulus
Eurasian Hoopoe,Upupa epops
Eurasian Wryneck,Jynx torquilla
Lesser Kestrel,Falco naumanni
Eurasian Kestrel,Falco tinnunculus
Red-footed Falcon,Falco vespertinus
Eleonora's Falcon,Falco eleonorae
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Peregrine Falcon,Falco peregrinus
Barbary Falcon,Falco pelegrinoides
Rose-ringed Parakeet,Psittacula krameri
Red-backed Shrike,Lanius collurio
Woodchat Shrike,Lanius senator
Eurasian Golden Oriole,Oriolus oriolus
Eurasian Jackdaw,Corvus monedula
Carrion Crow,Corvus corone
Brown-necked Raven,Corvus ruficollis
Common Raven,Corvus corax
Calandra Lark,Melanocorypha calandra
Greater Short-toed Lark,Calandrella brachydactyla
Sky Lark,Alauda arvensis
Bank Swallow,Riparia riparia
Eurasian Crag-Martin,Ptyonoprogne rupestris
Barn Swallow,Hirundo rustica
Red-rumped Swallow,Cecropis daurica
Cliff Swallow,Petrochelidon pyrrhonota
Common House-Martin,Delichon urbicum
Eurasian Wren,Troglodytes troglodytes
Firecrest,Regulus ignicapilla
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Iberian Chiffchaff,Phylloscopus ibericus
Western Bonelli's Warbler,Phylloscopus bonelli
Wood Warbler,Phylloscopus sibilatrix
Yellow-browed Warbler,Phylloscopus inornatus
Greenish Warbler,Phylloscopus trochiloides
Western Olivaceous Warbler,Iduna opaca
Melodious Warbler,Hippolais polyglotta
Icterine Warbler,Hippolais icterina
Sedge Warbler,Acrocephalus schoenobaenus
Eurasian Reed-Warbler,Acrocephalus scirpaceus
Great Reed-Warbler,Acrocephalus arundinaceus
Eurasian River Warbler,Locustella fluviatilis
Common Grasshopper-Warbler,Locustella naevia
Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Lesser Whitethroat,Sylvia curruca
Western Orphean Warbler,Sylvia hortensis
Subalpine Warbler,Sylvia cantillans
Greater Whitethroat,Sylvia communis
Spectacled Warbler,Sylvia conspicillata
Spotted Flycatcher,Muscicapa striata
Rufous-tailed Scrub-Robin,Cercotrichas galactotes
European Robin,Erithacus rubecula
Common Nightingale,Luscinia megarhynchos
Bluethroat,Luscinia svecica
European Pied Flycatcher,Ficedula hypoleuca
Red-breasted Flycatcher,Ficedula parva
Common Redstart,Phoenicurus phoenicurus
Black Redstart,Phoenicurus ochruros
Rufous-tailed Rock-Thrush,Monticola saxatilis
Blue Rock-Thrush,Monticola solitarius
Whinchat,Saxicola rubetra
European Stonechat,Saxicola rubicola
Northern Wheatear,Oenanthe oenanthe
Desert Wheatear,Oenanthe deserti
Isabelline Wheatear,Oenanthe isabellina
Wood Thrush,Hylocichla mustelina
Ring Ouzel,Turdus torquatus
Eurasian Blackbird,Turdus merula
Black-throated Thrush,Turdus atrogularis
Red-throated Thrush,Turdus ruficollis
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Song Thrush,Turdus philomelos
Mistle Thrush,Turdus viscivorus
Rosy Starling,Pastor roseus
European Starling,Sturnus vulgaris
Spotless Starling,Sturnus unicolor
Western Yellow Wagtail,Motacilla flava
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
Tawny Pipit,Anthus campestris
Berthelot's Pipit,Anthus berthelotii
Meadow Pipit,Anthus pratensis
Tree Pipit,Anthus trivialis
Red-throated Pipit,Anthus cervinus
Snow Bunting,Plectrophenax nivalis
American Redstart,Setophaga ruticilla
Yellow Warbler,Setophaga petechia
Ortolan Bunting,Emberiza hortulana
Reed Bunting,Emberiza schoeniclus
Corn Bunting,Emberiza calandra
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Trumpeter Finch,Bucanetes githagineus
European Greenfinch,Chloris chloris
Parrot Crossbill,Loxia pytyopsittacus
Red Crossbill,Loxia curvirostra
Eurasian Siskin,Spinus spinus
European Goldfinch,Carduelis carduelis
Eurasian Linnet,Carduelis cannabina
European Serin,Serinus serinus
Island Canary,Serinus canaria
Hawfinch,Coccothraustes coccothraustes
House Sparrow,Passer domesticus
Spanish Sparrow,Passer hispaniolensis
Rock Petronia,Petronia petronia
Common Waxbill,Estrilda astrild
Red Avadavat,Amandava amandava
