standard_name,scientific_name
American Bittern,Botaurus lentiginosus
Great Bittern,Botaurus stellaris
Little Bittern,Ixobrychus minutus
Least Bittern,Ixobrychus exilis
Great Blue Heron,Ardea herodias
Gray Heron,Ardea cinerea
Purple Heron,Ardea purpurea
Great Egret,Ardea alba
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Snowy Egret,Egretta thula
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Cattle Egret,Bubulcus ibis
Squacco Heron,Ardeola ralloides
Green Heron,Butorides virescens
Black-crowned Night-Heron,Nycticorax nycticorax
Yellow-crowned Night-Heron,Nyctanassa violacea
Glossy Ibis,Plegadis falcinellus
Waldrapp,Geronticus eremita
Eurasian Spoonbill,Platalea leucorodia
Osprey,Pandion haliaetus
Egyptian Vulture,Neophron percnopterus
Swallow-tailed Kite,Elanoides forficatus
Eurasian Marsh-Harrier,Circus aeruginosus
Northern Harrier,Circus cyaneus
Montagu's Harrier,Circus pygargus
Red Kite,Milvus milvus
Black Kite,Milvus migrans
Rough-legged Hawk,Buteo lagopus
Common Buzzard,Buteo buteo
Corn Crake,Crex crex
Water Rail,Rallus aquaticus
Little Crake,Porzana parva
Baillon's Crake,Porzana pusilla
Spotted Crake,Porzana porzana
Sora,Porzana carolina
Allen's Gallinule,Porphyrio alleni
Purple Gallinule,Porphyrio martinicus
Eurasian Moorhen,Gallinula chloropus
Eurasian Coot,Fulica atra
American Coot,Fulica americana
Sandhill Crane,Grus canadensis
Common Crane,Grus grus
Eurasian Thick-knee,Burhinus oedicnemus
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Eurasian Oystercatcher,Haematopus ostralegus
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Northern Lapwing,Vanellus vanellus
Kentish Plover,Charadrius alexandrinus
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Little Ringed Plover,Charadrius dubius
Killdeer,Charadrius vociferus
Eurasian Dotterel,Charadrius morinellus
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Spotted Redshank,Tringa erythropus
Greater Yellowlegs,Tringa melanoleuca
Common Greenshank,Tringa nebularia
Willet,Tringa semipalmata
Lesser Yellowlegs,Tringa flavipes
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Upland Sandpiper,Bartramia longicauda
Whimbrel,Numenius phaeopus
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Bar-tailed Godwit,Limosa lapponica
Ruddy Turnstone,Arenaria interpres
Red Knot,Calidris canutus
Ruff,Calidris pugnax
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Sanderling,Calidris alba
Dunlin,Calidris alpina
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Wilson's Snipe,Gallinago delicata
Common Snipe,Gallinago gallinago
Eurasian Woodcock,Scolopax rusticola
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Great Skua,Stercorarius skua
South Polar Skua,Stercorarius maccormicki
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Dovekie,Alle alle
Thick-billed Murre,Uria lomvia
Razorbill,Alca torda
Atlantic Puffin,Fratercula arctica
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Little Gull,Hydrocoloeus minutus
Ross's Gull,Rhodostethia rosea
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Mediterranean Gull,Ichthyaetus melanocephalus
Pallas's Gull,Ichthyaetus ichthyaetus
Audouin's Gull,Ichthyaetus audouinii
Mew Gull,Larus canus
Ring-billed Gull,Larus delawarensis
Herring Gull,Larus argentatus
Yellow-legged Gull,Larus michahellis
Caspian Gull,Larus cachinnans
Iceland Gull,Larus glaucoides
Lesser Black-backed Gull,Larus fuscus
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Brown Noddy,Anous stolidus
Sooty Tern,Onychoprion fuscatus
Bridled Tern,Onychoprion anaethetus
Little Tern,Sternula albifrons
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
Royal Tern,Thalasseus maximus
Sandwich Tern,Thalasseus sandvicensis
Rock Pigeon,Columba livia
Common Wood-Pigeon,Columba palumbus
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Mourning Dove,Zenaida macroura
Common Cuckoo,Cuculus canorus
Yellow-billed Cuckoo,Coccyzus americanus
Black-billed Cuckoo,Coccyzus erythropthalmus
Barn Owl,Tyto alba
Snowy Owl,Bubo scandiacus
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Common Nighthawk,Chordeiles minor
Eurasian Nightjar,Caprimulgus europaeus
Chimney Swift,Chaetura pelagica
Alpine Swift,Apus melba
Common Swift,Apus apus
Pallid Swift,Apus pallidus
Little Swift,Apus affinis
Common Kingfisher,Alcedo atthis
Belted Kingfisher,Megaceryle alcyon
European Bee-eater,Merops apiaster
European Roller,Coracias garrulus
Eurasian Hoopoe,Upupa epops
Yellow-bellied Sapsucker,Sphyrapicus varius
Northern Flicker,Colaptes auratus
Lesser Kestrel,Falco naumanni
Eurasian Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Peregrine Falcon,Falco peregrinus
Rose-ringed Parakeet,Psittacula krameri
Red-backed Shrike,Lanius collurio
Woodchat Shrike,Lanius senator
White-eyed Vireo,Vireo griseus
Yellow-throated Vireo,Vireo flavifrons
Philadelphia Vireo,Vireo philadelphicus
Red-eyed Vireo,Vireo olivaceus
Eurasian Golden Oriole,Oriolus oriolus
Eurasian Jackdaw,Corvus monedula
Rook,Corvus frugilegus
Carrion Crow,Corvus corone
Common Raven,Corvus corax
Greater Short-toed Lark,Calandrella brachydactyla
Crested Lark,Galerida cristata
Sky Lark,Alauda arvensis
Purple Martin,Progne subis
Tree Swallow,Tachycineta bicolor
Bank Swallow,Riparia riparia
Barn Swallow,Hirundo rustica
Red-rumped Swallow,Cecropis daurica
Cliff Swallow,Petrochelidon pyrrhonota
Common House-Martin,Delichon urbicum
Eurasian Wren,Troglodytes troglodytes
Ruby-crowned Kinglet,Regulus calendula
Goldcrest,Regulus regulus
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Iberian Chiffchaff,Phylloscopus ibericus
Yellow-browed Warbler,Phylloscopus inornatus
Melodious Warbler,Hippolais polyglotta
Sedge Warbler,Acrocephalus schoenobaenus
Paddyfield Warbler,Acrocephalus agricola
Great Reed-Warbler,Acrocephalus arundinaceus
Common Grasshopper-Warbler,Locustella naevia
Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Greater Whitethroat,Sylvia communis
Spotted Flycatcher,Muscicapa striata
European Robin,Erithacus rubecula
European Pied Flycatcher,Ficedula hypoleuca
Red-breasted Flycatcher,Ficedula parva
Common Redstart,Phoenicurus phoenicurus
Black Redstart,Phoenicurus ochruros
Whinchat,Saxicola rubetra
European Stonechat,Saxicola rubicola
Northern Wheatear,Oenanthe oenanthe
Black-eared Wheatear,Oenanthe hispanica
Isabelline Wheatear,Oenanthe isabellina
Gray-cheeked Thrush,Catharus minimus
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Wood Thrush,Hylocichla mustelina
Ring Ouzel,Turdus torquatus
Eurasian Blackbird,Turdus merula
Dusky Thrush,Turdus eunomus
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Song Thrush,Turdus philomelos
Mistle Thrush,Turdus viscivorus
Gray Catbird,Dumetella carolinensis
European Starling,Sturnus vulgaris
Western Yellow Wagtail,Motacilla flava
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
Tawny Pipit,Anthus campestris
Meadow Pipit,Anthus pratensis
Tree Pipit,Anthus trivialis
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Bohemian Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Lapland Longspur,Calcarius lapponicus
Snow Bunting,Plectrophenax nivalis
Ovenbird,Seiurus aurocapilla
Northern Waterthrush,Parkesia noveboracensis
Blue-winged Warbler,Vermivora cyanoptera
Black-and-white Warbler,Mniotilta varia
Tennessee Warbler,Oreothlypis peregrina
Common Yellowthroat,Geothlypis trichas
Hooded Warbler,Setophaga citrina
American Redstart,Setophaga ruticilla
Northern Parula,Setophaga americana
Magnolia Warbler,Setophaga magnolia
Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler,Setophaga pensylvanica
Blackpoll Warbler,Setophaga striata
Black-throated Blue Warbler,Setophaga caerulescens
Yellow-rumped Warbler,Setophaga coronata
Yellow-throated Warbler,Setophaga dominica
Black-throated Green Warbler,Setophaga virens
Canada Warbler,Cardellina canadensis
Savannah Sparrow,Passerculus sandwichensis
Lincoln's Sparrow,Melospiza lincolnii
White-throated Sparrow,Zonotrichia albicollis
White-crowned Sparrow,Zonotrichia leucophrys
Dark-eyed Junco,Junco hyemalis
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Rose-breasted Grosbeak,Pheucticus ludovicianus
Blue Grosbeak,Passerina caerulea
Indigo Bunting,Passerina cyanea
Dickcissel,Spiza americana
Bobolink,Dolichonyx oryzivorus
Baltimore Oriole,Icterus galbula
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Azores Bullfinch,Pyrrhula murina
European Greenfinch,Chloris chloris
Red Crossbill,Loxia curvirostra
Common Redpoll,Acanthis flammea
Hoary Redpoll,Acanthis hornemanni
Eurasian Siskin,Spinus spinus
European Goldfinch,Carduelis carduelis
Eurasian Linnet,Carduelis cannabina
European Serin,Serinus serinus
Island Canary,Serinus canaria
House Sparrow,Passer domesticus
Rock Petronia,Petronia petronia
Common Waxbill,Estrilda astrild
Red-cheeked Cordonbleu,Uraeginthus bengalus
