standard_name,scientific_name
Double-spurred Francolin,Francolinus bicalcaratus
Erckel's Francolin,Francolinus erckelii
Gray Partridge,Perdix perdix
Common Quail,Coturnix coturnix
Reeves's Pheasant,Syrmaticus reevesii
Ring-necked Pheasant,Phasianus colchicus
Golden Pheasant,Chrysolophus pictus
Lady Amherst's Pheasant,Chrysolophus amherstiae
Helmeted Guineafowl,Numida meleagris
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Pacific Loon,Gavia pacifica
Common Loon,Gavia immer
Yellow-billed Loon,Gavia adamsii
Pied-billed Grebe,Podilymbus podiceps
Little Grebe,Tachybaptus ruficollis
Great Crested Grebe,Podiceps cristatus
Red-necked Grebe,Podiceps grisegena
Horned Grebe,Podiceps auritus
Eared Grebe,Podiceps nigricollis
Black-browed Albatross,Thalassarche melanophris
Yellow-nosed Albatross,Thalassarche chlororhynchos
White-capped Albatross,Thalassarche cauta
Wandering Albatross,Diomedea exulans
Southern Giant-Petrel,Macronectes giganteus
Northern Fulmar,Fulmarus glacialis
Cape Petrel,Daption capense
Herald Petrel,Pterodroma arminjoniana
Atlantic Petrel,Pterodroma incerta
Soft-plumaged Petrel,Pterodroma mollis
Zino's Petrel,Pterodroma madeira
Fea's Petrel,Pterodroma feae
Bermuda Petrel,Pterodroma cahow
Black-capped Petrel,Pterodroma hasitata
Bulwer's Petrel,Bulweria bulwerii
Cory's Shearwater,Calonectris diomedea
Cape Verde Shearwater,Calonectris edwardsii
Streaked Shearwater,Calonectris leucomelas
Flesh-footed Shearwater,Puffinus carneipes
Great Shearwater,Puffinus gravis
Wedge-tailed Shearwater,Puffinus pacificus
Sooty Shearwater,Puffinus griseus
Manx Shearwater,Puffinus puffinus
Levantine Shearwater,Puffinus yelkouan
Balearic Shearwater,Puffinus mauretanicus
Barolo Shearwater,Puffinus baroli
Tropical Shearwater,Puffinus bailloni
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
Black-bellied Storm-Petrel,Fregetta tropica
European Storm-Petrel,Hydrobates pelagicus
Leach's Storm-Petrel,Oceanodroma leucorhoa
Swinhoe's Storm-Petrel,Oceanodroma monorhis
Band-rumped Storm-Petrel,Oceanodroma castro
Red-billed Tropicbird,Phaethon aethereus
White-tailed Tropicbird,Phaethon lepturus
Red-footed Booby,Sula sula
Masked Booby,Sula dactylatra
Brown Booby,Sula leucogaster
Northern Gannet,Morus bassanus
Great Cormorant,Phalacrocorax carbo
Double-crested Cormorant,Phalacrocorax auritus
European Shag,Phalacrocorax aristotelis
Socotra Cormorant,Phalacrocorax nigrogularis
Pygmy Cormorant,Phalacrocorax pygmaeus
Long-tailed Cormorant,Phalacrocorax africanus
Oriental Darter,Anhinga melanogaster
Great White Pelican,Pelecanus onocrotalus
Dalmatian Pelican,Pelecanus crispus
Pink-backed Pelican,Pelecanus rufescens
Ascension Island Frigatebird,Fregata aquila
Magnificent Frigatebird,Fregata magnificens
Lesser Frigatebird,Fregata ariel
Great Bittern,Botaurus stellaris
American Bittern,Botaurus lentiginosus
Least Bittern,Ixobrychus exilis
Little Bittern,Ixobrychus minutus
Schrenck's Bittern,Ixobrychus eurhythmus
Dwarf Bittern,Ixobrychus sturmii
Black-crowned Night-Heron,Nycticorax nycticorax
Yellow-crowned Night-Heron,Nyctanassa violacea
Striated Heron,Butorides striata
Green Heron,Butorides virescens
Squacco Heron,Ardeola ralloides
Indian Pond-Heron,Ardeola grayii
Cattle Egret,Bubulcus ibis
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Snowy Egret,Egretta thula
Western Reef-Heron,Egretta gularis
Little Egret,Egretta garzetta
Black Heron,Egretta ardesiaca
Intermediate Egret,Mesophoyx intermedia
Great Egret,Ardea alba
Gray Heron,Ardea cinerea
Great Blue Heron,Ardea herodias
Black-headed Heron,Ardea melanocephala
Purple Heron,Ardea purpurea
Goliath Heron,Ardea goliath
Yellow-billed Stork,Mycteria ibis
African Openbill,Anastomus lamelligerus
Black Stork,Ciconia nigra
White Stork,Ciconia ciconia
Marabou Stork,Leptoptilos crumenifer
Glossy Ibis,Plegadis falcinellus
Waldrapp,Geronticus eremita
Sacred Ibis,Threskiornis aethiopicus
Eurasian Spoonbill,Platalea leucorodia
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoenicopterus minor
European Honey-buzzard,Pernis apivorus
Oriental Honey-buzzard,Pernis ptilorhynchus
Swallow-tailed Kite,Elanoides forficatus
Black-shouldered Kite,Elanus caeruleus
Black Kite,Milvus migrans
Red Kite,Milvus milvus
African Fish-Eagle,Haliaeetus vocifer
Pallas's Fish-Eagle,Haliaeetus leucoryphus
White-tailed Eagle,Haliaeetus albicilla
Bald Eagle,Haliaeetus leucocephalus
Lammergeier,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
Hooded Vulture,Necrosyrtes monachus
White-backed Vulture,Gyps africanus
Eurasian Griffon,Gyps fulvus
Rueppell's Griffon,Gyps rueppellii
Lappet-faced Vulture,Torgos tracheliotus
Cinereous Vulture,Aegypius monachus
Short-toed Eagle,Circaetus gallicus
Bateleur,Terathopius ecaudatus
Eurasian Marsh-Harrier,Circus aeruginosus
Northern Harrier,Circus cyaneus
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
Dark Chanting-Goshawk,Melierax metabates
Gabar Goshawk,Micronisus gabar
Northern Goshawk,Accipiter gentilis
Eurasian Sparrowhawk,Accipiter nisus
Shikra,Accipiter badius
Levant Sparrowhawk,Accipiter brevipes
Common Buzzard,Buteo buteo
Long-legged Buzzard,Buteo rufinus
Rough-legged Hawk,Buteo lagopus
Lesser Spotted Eagle,Clanga pomarina
Greater Spotted Eagle,Clanga clanga
Tawny Eagle,Aquila rapax
Steppe Eagle,Aquila nipalensis
Spanish Eagle,Aquila adalberti
Imperial Eagle,Aquila heliaca
Golden Eagle,Aquila chrysaetos
Verreaux's Eagle,Aquila verreauxii
Booted Eagle,Hieraaetus pennatus
Bonelli's Eagle,Aquila fasciata
Osprey,Pandion haliaetus
Lesser Kestrel,Falco naumanni
Eurasian Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Eleonora's Falcon,Falco eleonorae
Sooty Falcon,Falco concolor
Lanner Falcon,Falco biarmicus
Saker Falcon,Falco cherrug
Gyrfalcon,Falco rusticolus
Peregrine Falcon,Falco peregrinus
Barbary Falcon,Falco pelegrinoides
Water Rail,Rallus aquaticus
Spotted Crake,Porzana porzana
Sora,Porzana carolina
Little Crake,Porzana parva
Baillon's Crake,Porzana pusilla
Striped Crake,Aenigmatolimnas marginalis
African Crake,Crecopsis egregia
Corn Crake,Crex crex
Eurasian Moorhen,Gallinula chloropus
Lesser Moorhen,Gallinula angulata
Allen's Gallinule,Porphyrio alleni
Purple Gallinule,Porphyrio martinicus
Purple Swamphen,Porphyrio porphyrio
Eurasian Coot,Fulica atra
American Coot,Fulica americana
Red-knobbed Coot,Fulica cristata
Small Buttonquail,Turnix sylvaticus
Common Crane,Grus grus
Sandhill Crane,Grus canadensis
Siberian Crane,Grus leucogeranus
Demoiselle Crane,Anthropoides virgo
Little Bustard,Tetrax tetrax
Nubian Bustard,Neotis nuba
Houbara Bustard,Chlamydotis undulata
Macqueen's Bustard,Chlamydotis macqueenii
Arabian Bustard,Ardeotis arabs
Great Bustard,Otis tarda
Greater Painted-Snipe,Rostratula benghalensis
Eurasian Oystercatcher,Haematopus ostralegus
African Oystercatcher,Haematopus moquini
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Crab Plover,Dromas ardeola
Eurasian Thick-knee,Burhinus oedicnemus
Senegal Thick-knee,Burhinus senegalensis
Egyptian Plover,Pluvianus aegyptius
Cream-colored Courser,Cursorius cursor
Collared Pratincole,Glareola pratincola
Oriental Pratincole,Glareola maldivarum
Black-winged Pratincole,Glareola nordmanni
Little Ringed Plover,Charadrius dubius
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Killdeer,Charadrius vociferus
Kittlitz's Plover,Charadrius pecuarius
Three-banded Plover,Charadrius tricollaris
Kentish Plover,Charadrius alexandrinus
Lesser Sand-Plover,Charadrius mongolus
Greater Sand-Plover,Charadrius leschenaultii
Caspian Plover,Charadrius asiaticus
Oriental Plover,Charadrius veredus
Eurasian Dotterel,Charadrius morinellus
Pacific Golden-Plover,Pluvialis fulva
American Golden-Plover,Pluvialis dominica
European Golden-Plover,Pluvialis apricaria
Black-bellied Plover,Pluvialis squatarola
Spur-winged Plover,Vanellus spinosus
Black-headed Lapwing,Vanellus tectus
Red-wattled Lapwing,Vanellus indicus
Sociable Lapwing,Vanellus gregarius
White-tailed Lapwing,Vanellus leucurus
Northern Lapwing,Vanellus vanellus
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Sanderling,Calidris alba
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Red-necked Stint,Calidris ruficollis
Little Stint,Calidris minuta
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Baird's Sandpiper,Calidris bairdii
Pectoral Sandpiper,Calidris melanotos
Sharp-tailed Sandpiper,Calidris acuminata
Curlew Sandpiper,Calidris ferruginea
Purple Sandpiper,Calidris maritima
Dunlin,Calidris alpina
Stilt Sandpiper,Calidris himantopus
Broad-billed Sandpiper,Calidris falcinellus
Buff-breasted Sandpiper,Calidris subruficollis
Ruff,Calidris pugnax
Jack Snipe,Lymnocryptes minimus
Common Snipe,Gallinago gallinago
Wilson's Snipe,Gallinago delicata
Great Snipe,Gallinago media
Pin-tailed Snipe,Gallinago stenura
Swinhoe's Snipe,Gallinago megala
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Eurasian Woodcock,Scolopax rusticola
American Woodcock,Scolopax minor
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Bar-tailed Godwit,Limosa lapponica
Little Curlew,Numenius minutus
Eskimo Curlew,Numenius borealis
Whimbrel,Numenius phaeopus
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Upland Sandpiper,Bartramia longicauda
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Gray-tailed Tattler,Tringa brevipes
Spotted Redshank,Tringa erythropus
Greater Yellowlegs,Tringa melanoleuca
Common Greenshank,Tringa nebularia
Lesser Yellowlegs,Tringa flavipes
Willet,Tringa semipalmata
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Ruddy Turnstone,Arenaria interpres
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Great Skua,Stercorarius skua
South Polar Skua,Stercorarius maccormicki
Sooty Gull,Ichthyaetus hemprichii
White-eyed Gull,Ichthyaetus leucophthalmus
Pallas's Gull,Ichthyaetus ichthyaetus
Relict Gull,Ichthyaetus relictus
Mediterranean Gull,Ichthyaetus melanocephalus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Brown-headed Gull,Chroicocephalus brunnicephalus
Gray-hooded Gull,Chroicocephalus cirrocephalus
Slender-billed Gull,Chroicocephalus genei
Audouin's Gull,Ichthyaetus audouinii
Ring-billed Gull,Larus delawarensis
Mew Gull,Larus canus
Lesser Black-backed Gull,Larus fuscus
Herring Gull,Larus argentatus
Herring Gull (American),Larus argentatus smithsonianus
Caspian Gull,Larus cachinnans
Yellow-legged Gull,Larus michahellis
Armenian Gull,Larus armenicus
Slaty-backed Gull,Larus schistisagus
Glaucous-winged Gull,Larus glaucescens
Thayer's Gull,Larus thayeri
Iceland Gull,Larus glaucoides
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Kelp Gull,Larus dominicanus
Ross's Gull,Rhodostethia rosea
Black-legged Kittiwake,Rissa tridactyla
Ivory Gull,Pagophila eburnea
Sabine's Gull,Xema sabini
Little Gull,Hydrocoloeus minutus
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Royal Tern,Thalasseus maximus
Great Crested Tern,Thalasseus bergii
Lesser Crested Tern,Thalasseus bengalensis
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
White-cheeked Tern,Sterna repressa
Aleutian Tern,Onychoprion aleuticus
Bridled Tern,Onychoprion anaethetus
Sooty Tern,Onychoprion fuscatus
Little Tern,Sternula albifrons
Saunders's Tern,Sternula saundersi
Whiskered Tern,Chlidonias hybrida
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Brown Noddy,Anous stolidus
African Skimmer,Rynchops flavirostris
Common Murre,Uria aalge
Thick-billed Murre,Uria lomvia
Razorbill,Alca torda
Great Auk,Pinguinus impennis
Black Guillemot,Cepphus grylle
Long-billed Murrelet,Brachyramphus perdix
Ancient Murrelet,Synthliboramphus antiquus
Dovekie,Alle alle
Crested Auklet,Aethia cristatella
Parakeet Auklet,Aethia psittacula
Atlantic Puffin,Fratercula arctica
Tufted Puffin,Fratercula cirrhata
Lichtenstein's Sandgrouse,Pterocles lichtensteinii
Crowned Sandgrouse,Pterocles coronatus
Spotted Sandgrouse,Pterocles senegallus
Chestnut-bellied Sandgrouse,Pterocles exustus
Black-bellied Sandgrouse,Pterocles orientalis
Pin-tailed Sandgrouse,Pterocles alchata
Pallas's Sandgrouse,Syrrhaptes paradoxus
Rock Pigeon,Columba livia
Stock Dove,Columba oenas
Pale-backed Pigeon,Columba eversmanni
Common Wood-Pigeon,Columba palumbus
Trocaz Pigeon,Columba trocaz
Bolle's Pigeon,Columba bollii
Laurel Pigeon,Columba junoniae
African Collared-Dove,Streptopelia roseogrisea
Eurasian Collared-Dove,Streptopelia decaocto
Mourning Collared-Dove,Streptopelia decipiens
European Turtle-Dove,Streptopelia turtur
Oriental Turtle-Dove,Streptopelia orientalis
Laughing Dove,Streptopelia senegalensis
Namaqua Dove,Oena capensis
Mourning Dove,Zenaida macroura
Bruce's Green-Pigeon,Treron waalia
Rose-ringed Parakeet,Psittacula krameri
Fischer's Lovebird,Agapornis fischeri
Nanday Parakeet,Nandayus nenday
Monk Parakeet,Myiopsitta monachus
Pied Cuckoo,Clamator jacobinus
Great Spotted Cuckoo,Clamator glandarius
Dideric Cuckoo,Chrysococcyx caprius
Common Cuckoo,Cuculus canorus
Oriental Cuckoo,Cuculus saturatus
Black-billed Cuckoo,Coccyzus erythropthalmus
Yellow-billed Cuckoo,Coccyzus americanus
Asian Koel,Eudynamys scolopaceus
Senegal Coucal,Centropus senegalensis
Barn Owl,Tyto alba
Pallid Scops-Owl,Otus brucei
European Scops-Owl,Otus scops
Eurasian Eagle-Owl,Bubo bubo
Snowy Owl,Bubo scandiacus
Brown Fish-Owl,Ketupa zeylonensis
Northern Hawk Owl,Surnia ulula
Eurasian Pygmy-Owl,Glaucidium passerinum
Little Owl,Athene noctua
Tawny Owl,Strix aluco
Hume's Owl,Strix butleri
Ural Owl,Strix uralensis
Great Gray Owl,Strix nebulosa
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Marsh Owl,Asio capensis
Boreal Owl,Aegolius funereus
Nubian Nightjar,Caprimulgus nubicus
Eurasian Nightjar,Caprimulgus europaeus
Red-necked Nightjar,Caprimulgus ruficollis
Egyptian Nightjar,Caprimulgus aegyptius
Common Nighthawk,Chordeiles minor
Chimney Swift,Chaetura pelagica
White-throated Needletail,Hirundapus caudacutus
Alexander's Swift,Apus alexandri
Plain Swift,Apus unicolor
Common Swift,Apus apus
Pallid Swift,Apus pallidus
Pacific Swift,Apus pacificus
Alpine Swift,Apus melba
White-rumped Swift,Apus caffer
Little Swift,Apus affinis
African Palm-Swift,Cypsiurus parvus
Blue-naped Mousebird,Urocolius macrourus
White-throated Kingfisher,Halcyon smyrnensis
Gray-headed Kingfisher,Halcyon leucocephala
Common Kingfisher,Alcedo atthis
Pied Kingfisher,Ceryle rudis
Belted Kingfisher,Megaceryle alcyon
Green Bee-eater,Merops orientalis
European Bee-eater,Merops apiaster
Blue-cheeked Bee-eater,Merops persicus
European Roller,Coracias garrulus
Abyssinian Roller,Coracias abyssinicus
Indian Roller,Coracias benghalensis
Broad-billed Roller,Eurystomus glaucurus
Eurasian Hoopoe,Upupa epops
Eurasian Wryneck,Jynx torquilla
Northern Flicker,Colaptes auratus
Gray-faced Woodpecker,Picus canus
Green Woodpecker,Picus viridis
Levaillant's Woodpecker,Picus vaillantii
Black Woodpecker,Dryocopus martius
Yellow-bellied Sapsucker,Sphyrapicus varius
Great Spotted Woodpecker,Dendrocopos major
Syrian Woodpecker,Dendrocopos syriacus
Middle Spotted Woodpecker,Dendrocopos medius
Lesser Spotted Woodpecker,Dendrocopos minor
White-backed Woodpecker,Dendrocopos leucotos
Eurasian Three-toed Woodpecker,Picoides tridactylus
Eastern Phoebe,Sayornis phoebe
Acadian Flycatcher,Empidonax virescens
Least Flycatcher,Empidonax minimus
Alder Flycatcher,Empidonax alnorum
Fork-tailed Flycatcher,Tyrannus savana
Chestnut-headed Sparrow-Lark,Eremopterix signatus
Black-crowned Sparrow-Lark,Eremopterix nigriceps
Dunn's Lark,Eremalauda dunni
Bar-tailed Lark,Ammomanes cinctura
Desert Lark,Ammomanes deserti
Greater Hoopoe-Lark,Alaemon alaudipes
Dupont's Lark,Chersophilus duponti
Thick-billed Lark,Ramphocoris clotbey
Calandra Lark,Melanocorypha calandra
Bimaculated Lark,Melanocorypha bimaculata
White-winged Lark,Melanocorypha leucoptera
Black Lark,Melanocorypha yeltoniensis
Greater Short-toed Lark,Calandrella brachydactyla
Hume's Lark,Calandrella acutirostris
Lesser Short-toed Lark,Calandrella rufescens
Crested Lark,Galerida cristata
Thekla Lark,Galerida theklae
Wood Lark,Lullula arborea
Oriental Skylark,Alauda gulgula
Sky Lark,Alauda arvensis
Razo Skylark,Alauda razae
Horned Lark,Eremophila alpestris
Temminck's Lark,Eremophila bilopha
Banded Martin,Riparia cincta
Plain Martin,Riparia paludicola
Bank Swallow,Riparia riparia
Tree Swallow,Tachycineta bicolor
Purple Martin,Progne subis
Eurasian Crag-Martin,Ptyonoprogne rupestris
Rock Martin,Ptyonoprogne fuligula
Barn Swallow,Hirundo rustica
Ethiopian Swallow,Hirundo aethiopica
Common House-Martin,Delichon urbicum
Red-rumped Swallow,Cecropis daurica
Streak-throated Swallow,Petrochelidon fluvicola
Cliff Swallow,Petrochelidon pyrrhonota
Richard's Pipit,Anthus richardi
Blyth's Pipit,Anthus godlewskii
Tawny Pipit,Anthus campestris
Berthelot's Pipit,Anthus berthelotii
Long-billed Pipit,Anthus similis
Olive-backed Pipit,Anthus hodgsoni
Tree Pipit,Anthus trivialis
Pechora Pipit,Anthus gustavi
Meadow Pipit,Anthus pratensis
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Water Pipit,Anthus spinoletta
Rock Pipit,Anthus petrosus
Forest Wagtail,Dendronanthus indicus
Western Yellow Wagtail,Motacilla flava
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
African Pied Wagtail,Motacilla aguimp
White-cheeked Bulbul,Pycnonotus leucogenys
Red-vented Bulbul,Pycnonotus cafer
White-spectacled Bulbul,Pycnonotus xanthopygos
Common Bulbul,Pycnonotus barbatus
Cedar Waxwing,Bombycilla cedrorum
Bohemian Waxwing,Bombycilla garrulus
Hypocolius,Hypocolius ampelinus
White-throated Dipper,Cinclus cinclus
Winter Wren,Troglodytes troglodytes
Northern Mockingbird,Mimus polyglottos
Brown Thrasher,Toxostoma rufum
Gray Catbird,Dumetella carolinensis
Dunnock,Prunella modularis
Siberian Accentor,Prunella montanella
Radde's Accentor,Prunella ocularis
Black-throated Accentor,Prunella atrogularis
Alpine Accentor,Prunella collaris
Rufous-tailed Scrub-Robin,Cercotrichas galactotes
Black Scrub-Robin,Cercotrichas podobe
European Robin,Erithacus rubecula
Rufous-tailed Robin,Larvivora sibilans
Thrush Nightingale,Luscinia luscinia
Common Nightingale,Luscinia megarhynchos
Siberian Rubythroat,Calliope calliope
Bluethroat,Luscinia svecica
Siberian Blue Robin,Larvivora cyane
Red-flanked Bluetail,Tarsiger cyanurus
White-throated Robin,Irania gutturalis
Rufous-backed Redstart,Phoenicurus erythronotus
Black Redstart,Phoenicurus ochruros
Common Redstart,Phoenicurus phoenicurus
Daurian Redstart,Phoenicurus auroreus
Moussier's Redstart,Phoenicurus moussieri
White-winged Redstart,Phoenicurus erythrogastrus
Blackstart,Cercomela melanura
Whinchat,Saxicola rubetra
Pied Bushchat,Saxicola caprata
Siberian Stonechat,Saxicola maurus
Fuerteventura Stonechat,Saxicola dacotiae
European Stonechat,Saxicola rubicola
Northern Anteater-Chat,Myrmecocichla aethiops
Isabelline Wheatear,Oenanthe isabellina
Northern Wheatear,Oenanthe oenanthe
Pied Wheatear,Oenanthe pleschanka
Cyprus Wheatear,Oenanthe cypriaca
Black-eared Wheatear,Oenanthe hispanica
Desert Wheatear,Oenanthe deserti
Finsch's Wheatear,Oenanthe finschii
Red-rumped Wheatear,Oenanthe moesta
Red-tailed Wheatear,Oenanthe xanthoprymna
Mourning Wheatear,Oenanthe lugens
Hooded Wheatear,Oenanthe monacha
Hume's Wheatear,Oenanthe albonigra
White-tailed Wheatear,Oenanthe leucopyga
Black Wheatear,Oenanthe leucura
Rufous-tailed Rock-Thrush,Monticola saxatilis
Blue Rock-Thrush,Monticola solitarius
Scaly Thrush,Zoothera dauma
Varied Thrush,Ixoreus naevius
Wood Thrush,Hylocichla mustelina
Hermit Thrush,Catharus guttatus
Swainson's Thrush,Catharus ustulatus
Gray-cheeked Thrush,Catharus minimus
Veery,Catharus fuscescens
Siberian Thrush,Geokichla sibirica
Tickell's Thrush,Turdus unicolor
Ring Ouzel,Turdus torquatus
Eurasian Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Naumann's Thrush,Turdus naumanni
Dusky Thrush,Turdus eunomus
Black-throated Thrush,Turdus atrogularis
Red-throated Thrush,Turdus ruficollis
Fieldfare,Turdus pilaris
Song Thrush,Turdus philomelos
Redwing,Turdus iliacus
Mistle Thrush,Turdus viscivorus
American Robin,Turdus migratorius
Cetti's Warbler,Cettia cetti
Zitting Cisticola,Cisticola juncidis
Graceful Prinia,Prinia gracilis
Cricket Longtail,Spiloptila clamans
Scrub Warbler,Scotocerca inquieta
Pallas's Grasshopper-Warbler,Locustella certhiola
Lanceolated Warbler,Locustella lanceolata
Common Grasshopper-Warbler,Locustella naevia
Eurasian River Warbler,Locustella fluviatilis
Savi's Warbler,Locustella luscinioides
Gray's Grasshopper-Warbler,Locustella fasciolata
Thick-billed Warbler,Iduna aedon
Booted Warbler,Iduna caligata
Sykes's Warbler,Iduna rama
Western Olivaceous Warbler,Iduna opaca
Eastern Olivaceous Warbler,Iduna pallida
Upcher's Warbler,Hippolais languida
Olive-tree Warbler,Hippolais olivetorum
Icterine Warbler,Hippolais icterina
Melodious Warbler,Hippolais polyglotta
Moustached Warbler,Acrocephalus melanopogon
Aquatic Warbler,Acrocephalus paludicola
Sedge Warbler,Acrocephalus schoenobaenus
Paddyfield Warbler,Acrocephalus agricola
Blyth's Reed-Warbler,Acrocephalus dumetorum
Cape Verde Swamp-Warbler,Acrocephalus brevipennis
Marsh Warbler,Acrocephalus palustris
Eurasian Reed-Warbler,Acrocephalus scirpaceus
Clamorous Reed-Warbler,Acrocephalus stentoreus
Great Reed-Warbler,Acrocephalus arundinaceus
Oriental Reed-Warbler,Acrocephalus orientalis
Basra Reed-Warbler,Acrocephalus griseldis
Marmora's Warbler,Sylvia sarda
