"family","name_en"
"Cnemophilidae","Satinbirds"
"Melanocharitidae","Berrypeckers and Longbills"
"Paramythiidae","Tit Berrypecker and Crested Berrypecker"
"Callaeidae","Wattlebirds"
"Notiomystidae","Stitchbird"
"Psophodidae","Whipbirds and Wedgebills"
"Cinclosomatidae","Quail-thrushes and Jewel-babblers"
"Platysteiridae","Wattle-eyes and Batises"
"Vangidae","Vangas, Helmetshrikes, and Allies"
"Malaconotidae","Bushshrikes and Allies"
"Machaerirhynchidae","Boatbills"
"Artamidae","Woodswallows"
"Cracticidae","Bellmagpies and Allies"
"Pityriaseidae","Bristlehead"
"Aegithinidae","Ioras"
"Campephagidae","Cuckooshrikes"
"Neosittidae","Sittellas"
"Pachycephalidae","Whistlers and Allies"
"Laniidae","Shrikes"
"Vireonidae","Vireos"
"Oriolidae","Old World Orioles"
"Dicruridae","Drongos"
"Rhipiduridae","Fantails"
"Monarchidae","Monarch Flycatchers"
"Corvidae","Crows, Jays, and Magpies"
"Corcoracidae","White-winged Chough and Apostlebird"
"Paradisaeidae","Birds-of-Paradise"
"Petroicidae","Australasian Robins"
"Picathartidae","Rockfowl"
"Chaetopidae","Rockjumpers"
"Eupetidae","Rail-babbler"
"Panuridae","Bearded Reedling"
"Nicatoridae","Nicators"
"Alaudidae","Larks"
"Hirundinidae","Swallows"
"Stenostiridae","Fairy Flycatchers"
"Paridae","Chickadees and Tits"
"Remizidae","Penduline-Tits"
"Aegithalidae","Long-tailed Tits"
"Sittidae","Nuthatches"
"Tichodromidae","Wallcreeper"
"Certhiidae","Treecreepers"
"Troglodytidae","Wrens"
"Polioptilidae","Gnatcatchers"
"Cinclidae","Dippers"
"Pycnonotidae","Bulbuls"
"Regulidae","Kinglets"
"Pnoepygidae","Cupwings"
"Macrosphenidae","African Warblers"
"Cettiidae","Bush-Warblers and Allies"
"Phylloscopidae","Leaf-Warblers"
"Acrocephalidae","Reed-Warblers and Allies"
"Locustellidae","Grassbirds and Allies"
"Donacobiidae","Donacobius"
"Bernieridae","Malagasy Warblers"
"Cisticolidae","Cisticolas and Allies"
"Sylvidae","Sylvids"
"Paradoxornithidae","Parrotbills, Wrentit, and Allies"
"Zosteropidae","Yuhinas, White-eyes, and Allies"
"Timaliidae","Tree-Babblers, Scimitar-Babblers, and Allies"
"Pellorneidae","Ground Babblers and Allies"
"Leiothrichidae","Laughingthrushes and Allies"
"Promeropidae","Sugarbirds"
"Irenidae","Fairy-bluebirds"
"Hyliotidae","Hyliotas"
"Muscicapidae","Old World Flycatchers"
"Turdidae","Thrushes and Allies"
"Mimidae","Mockingbirds and Thrashers"
"Sturnidae","Starlings"
"Buphagidae","Oxpeckers"
"Chloropseidae","Leafbirds"
"Dicaeidae","Flowerpeckers"
"Nectariniidae","Sunbirds and Spiderhunters"
"Prunellidae","Accentors"
"Motacillidae","Wagtails and Pipits"
"Urocynchramidae","Przevalski's Rosefinch"
"Bombycillidae","Waxwings"
"Mohoidae","Hawaiian Honeyeaters"
"Ptilogonatidae","Silky-flycatchers"
"Dulidae","Palmchat"
"Hylocitreidae","Hylocitrea"
"Hypocoliidae","Hypocolius"
"Peucedramidae","Olive Warbler"
"Calcariidae","Longspurs and Snow Buntings"
"Parulidae","New World Warblers"
"Thraupidae","Tanagers and Allies"
"Emberizidae","Buntings and New World Sparrows"
"Cardinalidae","Cardinals and Allies"
"Icteridae","Troupials and Allies"
"Fringillidae","Siskins, Crossbills, and Allies"
"Passeridae","Old World Sparrows"
"Ploceidae","Weavers and Allies"
"Estrildidae","Waxbills and Allies"
"Viduidae","Indigobirds"
